endtime,currQr,prevQr,stationName,failureCode,tipoFalla,resultado,notes
2026-05-12 07:21:06.093,B1-110526-05-K15365,B1-110526-05-K15365,Black Box 2 SSR - RF Chamber BLE Test,TIT2-DATA-000,RF Chamber BLE Test,FAILED,"{""station"": ""Black Box 2 SSR - RF Chamber BLE Test"", ""work_order"": ""132841"", ""label_qr"": ""B1-110526-05-K15365"", ""pcba_qr"": ""UNKNOWN"", ""mac_id"": ""16:0A:0E:BD:6A:19"", ""rssi_dbm"": -71, ""battery_voltage_v"": 9.9, ""rssi_pass_range"": ""-40 to -10 dBm"", ""battery_min_v"": 2.98, ""battery_max_v"": 3.3, ""test_result"": ""FAIL""}"
2026-05-12 07:22:20.657,B1-110526-03-K15423,B1-110526-03-K15423,Black Box 2 SSR - RF Chamber BLE Test,TIT2-DATA-002,RF Chamber BLE Test,FAILED,"{""station"": ""Black Box 2 SSR - RF Chamber BLE Test"", ""work_order"": ""132841"", ""label_qr"": ""B1-110526-03-K15423"", ""pcba_qr"": ""JASPER-V01.05.07.04-002-P03-1226-0006431"", ""mac_id"": ""C4:4D:32:E3:E8:EA"", ""rssi_dbm"": -80, ""battery_voltage_v"": 2.7, ""rssi_pass_range"": ""-40 to -10 dBm"", ""battery_min_v"": 2.98, ""battery_max_v"": 3.3, ""test_result"": ""FAIL""}"
2026-05-12 07:33:26.403,B1-110526-05-K15425,B1-110526-05-K15425,Black Box 2 SSR - RF Chamber BLE Test,TIT2-DATA-000,RF Chamber BLE Test,FAILED,"{""station"": ""Black Box 2 SSR - RF Chamber BLE Test"", ""work_order"": ""132841"", ""label_qr"": ""B1-110526-05-K15425"", ""pcba_qr"": ""UNKNOWN"", ""mac_id"": ""2C:86:98:5D:62:30"", ""rssi_dbm"": -80, ""battery_voltage_v"": 24.2, ""rssi_pass_range"": ""-40 to -10 dBm"", ""battery_min_v"": 2.98, ""battery_max_v"": 3.3, ""test_result"": ""FAIL""}"
2026-05-12 07:40:26.933,B1-060526-04-K14A54,B1-060526-04-K14A54,Black Box 2 SSR - RF Chamber BLE Test,TIT2-BATT-000,RF Chamber BLE Test,FAILED,"{""station"": ""Black Box 2 SSR - RF Chamber BLE Test"", ""work_order"": ""132841"", ""label_qr"": ""B1-060526-04-K14A54"", ""pcba_qr"": ""TITANITE V2.0.3.2,002-P10,0426,0001438"", ""mac_id"": ""FA:80:C1:4A:CA:E2"", ""rssi_dbm"": -23, ""battery_voltage_v"": 25.5, ""rssi_pass_range"": ""-40 to -10 dBm"", ""battery_min_v"": 2.98, ""battery_max_v"": 3.3, ""test_result"": ""FAIL""}"
2026-05-12 07:45:47.407,B1-110526-01-K15411,B1-110526-01-K15411,Black Box 2 SSR - RF Chamber BLE Test,TIT2-BLE-000,RF Chamber BLE Test,FAILED,"{""station"": ""Black Box 2 SSR - RF Chamber BLE Test"", ""work_order"": ""132841"", ""label_qr"": ""B1-110526-01-K15411"", ""pcba_qr"": ""TITANITE V2.0.3.2,002-P10,1226,0000320"", ""mac_id"": ""E4:64:28:E0:20:5D"", ""rssi_dbm"": -42, ""battery_voltage_v"": 3.2, ""rssi_pass_range"": ""-40 to -10 dBm"", ""battery_min_v"": 2.98, ""battery_max_v"": 3.3, ""test_result"": ""FAIL""}"
2026-05-12 07:51:26.880,B1-060526-04-K14A54,B1-060526-04-K14A54,Black Box 2 SSR - RF Chamber BLE Test,TIT2-BATT-000,RF Chamber BLE Test,FAILED,"{""station"": ""Black Box 2 SSR - RF Chamber BLE Test"", ""work_order"": ""132841"", ""label_qr"": ""B1-060526-04-K14A54"", ""pcba_qr"": ""TITANITE V2.0.3.2,002-P10,0426,0001438"", ""mac_id"": ""FA:80:C1:4A:CA:E2"", ""rssi_dbm"": -29, ""battery_voltage_v"": 25.5, ""rssi_pass_range"": ""-40 to -10 dBm"", ""battery_min_v"": 2.98, ""battery_max_v"": 3.3, ""test_result"": ""FAIL""}"
2026-05-12 07:51:59.123,B1-110526-02-K15222,B1-110526-02-K15222,Black Box 2 SSR - RF Chamber BLE Test,TIT2-BLE-000,RF Chamber BLE Test,FAILED,"{""station"": ""Black Box 2 SSR - RF Chamber BLE Test"", ""work_order"": ""132841"", ""label_qr"": ""B1-110526-02-K15222"", ""pcba_qr"": ""TITANITE V2.0.3.2,002-P10,1226,0003734"", ""mac_id"": ""C4:67:1C:02:D6:9A"", ""rssi_dbm"": -41, ""battery_voltage_v"": 3.2, ""rssi_pass_range"": ""-40 to -10 dBm"", ""battery_min_v"": 2.98, ""battery_max_v"": 3.3, ""test_result"": ""FAIL""}"
2026-05-12 07:52:19.093,B1-110526-02-K15222,B1-110526-02-K15222,Black Box 2 SSR - RF Chamber BLE Test,TIT2-BLE-000,RF Chamber BLE Test,FAILED,"{""station"": ""Black Box 2 SSR - RF Chamber BLE Test"", ""work_order"": ""132841"", ""label_qr"": ""B1-110526-02-K15222"", ""pcba_qr"": ""TITANITE V2.0.3.2,002-P10,1226,0003734"", ""mac_id"": ""C4:67:1C:02:D6:9A"", ""rssi_dbm"": -41, ""battery_voltage_v"": 3.2, ""rssi_pass_range"": ""-40 to -10 dBm"", ""battery_min_v"": 2.98, ""battery_max_v"": 3.3, ""test_result"": ""FAIL""}"
2026-05-12 07:54:33.103,B1-300426-04-K13504,B1-300426-04-K13504,Black Box 2 SSR - RF Chamber BLE Test,TIT2-BLE-000,RF Chamber BLE Test,FAILED,"{""station"": ""Black Box 2 SSR - RF Chamber BLE Test"", ""work_order"": ""132841"", ""label_qr"": ""B1-300426-04-K13504"", ""pcba_qr"": ""TITANITE V2.0.3.2,002-P10,5125,0000357"", ""mac_id"": ""F8:3E:F0:33:5B:83"", ""rssi_dbm"": -60, ""battery_voltage_v"": 3.2, ""rssi_pass_range"": ""-40 to -10 dBm"", ""battery_min_v"": 2.98, ""battery_max_v"": 3.3, ""test_result"": ""FAIL""}"
2026-05-12 07:55:22.843,B1-300426-04-K13504,B1-300426-04-K13504,Black Box 2 SSR - RF Chamber BLE Test,TIT2-BLE-000,RF Chamber BLE Test,FAILED,"{""station"": ""Black Box 2 SSR - RF Chamber BLE Test"", ""work_order"": ""132841"", ""label_qr"": ""B1-300426-04-K13504"", ""pcba_qr"": ""TITANITE V2.0.3.2,002-P10,5125,0000357"", ""mac_id"": ""F8:3E:F0:33:5B:83"", ""rssi_dbm"": -63, ""battery_voltage_v"": 3.2, ""rssi_pass_range"": ""-40 to -10 dBm"", ""battery_min_v"": 2.98, ""battery_max_v"": 3.3, ""test_result"": ""FAIL""}"
